"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","Nicobars","2023-04-01","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-02","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-03","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-04","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-05","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-06","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-07","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-08","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-09","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-10","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-11","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-12","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-13","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-14","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-16","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-15","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-17","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-18","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-19","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-20","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-21","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-22","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-23","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-24","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-25","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-26","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-04-27","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-01","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-02","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-03","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-04","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-05","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-06","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-07","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-08","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-09","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-10","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-11","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-12","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-13","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-14","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-16","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-15","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-17","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-18","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-19","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-20","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-21","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-22","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-23","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-24","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-25","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-26","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-04-27","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-01","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-02","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-03","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-04","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-05","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-06","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-07","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-08","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-09","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-10","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-11","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-12","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-13","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-14","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-16","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-15","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-17","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-18","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-19","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-20","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-21","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-22","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-23","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-24","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-25","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-26","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-27","2023","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-01","2023","04","0.0010405084","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-02","2023","04","0.0016496221","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-03","2023","04","0.0008733951","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-04","2023","04","0.0003427406","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-05","2023","04","0.1557126339","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-06","2023","04","4.0223E-6","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-08","2023","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-09","2023","04","0.0006119673","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-07","2023","04","0.0422700142","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-10","2023","04","0.0063285119","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-11","2023","04","0.001689944","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-12","2023","04","0.0183941079","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-13","2023","04","0.0022721364","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-14","2023","04","0.0015044957","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-15","2023","04","0.0015458669","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-16","2023","04","3.58028E-5","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-17","2023","04","0.0160737448","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-18","2023","04","0.005090021","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-19","2023","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-20","2023","04","0.0002617502","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-21","2023","04","0.0160356523","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-22","2023","04","2.0856554144","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-23","2023","04","1.0845949962","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-25","2023","04","1.3982257082","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-24","2023","04","3.82177E-5","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-26","2023","04","0.7232737585","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-27","2023","04","0.6022213514","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-01","2023","04","1.2335001157","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-02","2023","04","3.772909501","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-03","2023","04","5.0734277314","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-04","2023","04","1.9204799633","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-05","2023","04","3.520240797","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-06","2023","04","0.0177479484","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-08","2023","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-09","2023","04","2.6919E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-07","2023","04","0.0001074885","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-10","2023","04","5.3838E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-11","2023","04","0.1023898889","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-12","2023","04","5.3838E-6","NRSC VIC MODEL"
